ticker,calc_date,lthcs_score,band,confidence_level,adoption_momentum,institutional_confidence,financial_evolution,thesis_integrity,des,dropped_pillars,data_quality_flags,drift_1d,drift_7d,drift_30d,drift_90d,sector,maturity_stage
AVGO,2026-06-06,75.5,constructive,high,93.0,70.1,84.8,80.8,48.9,,,15.5,-2.1,-3.3,7.2,Technology,mature_compounder
AXP,2026-06-06,56.0,weakening,high,62.5,14.8,71.4,64.7,66.6,,,6.2,2.9,-1.4,0.5,Financials,mature_compounder
AZN,2026-06-06,59.3,weakening,high,66.3,37.3,72.0,78.6,43.9,,,6.5,0.8,5.9,-1.4,Health Care,standard_compounder
BA,2026-06-06,55.7,weakening,high,73.5,28.1,48.2,81.0,49.2,,,2.9,0.2,-5.9,-10.4,Industrials,recovery_stabilization
BAC,2026-06-06,56.3,weakening,high,56.3,48.9,34.9,75.0,66.6,,,-1.6,5.3,2.3,4.5,Financials,mature_compounder
BIIB,2026-06-06,53.2,weakening,high,43.9,68.1,43.8,66.2,43.9,,,-6.4,3.4,4.1,3.4,Health Care,standard_compounder
BK,2026-06-06,64.5,monitor,medium,47.5,77.6,72.6,58.8,66.6,thesis_integrity,thesis_unavailable,4.7,4.0,-3.0,1.9,Financials,standard_compounder
BKNG,2026-06-06,52.9,weakening,high,62.0,9.5,78.1,75.4,43.7,,,7.0,4.0,-1.7,-12.5,Consumer Discretionary,standard_compounder
BKR,2026-06-06,52.5,weakening,high,24.2,66.7,39.5,78.9,57.0,,,-6.8,-0.2,-4.7,-5.1,Energy,standard_compounder
BLK,2026-06-06,59.4,weakening,high,68.8,24.2,61.8,73.8,66.6,,,7.0,1.8,-10.4,-4.2,Financials,standard_compounder
BMY,2026-06-06,48.9,review,high,33.9,51.4,51.9,68.1,43.9,,,-6.7,4.5,3.4,-3.8,Health Care,standard_compounder
BRK.B,2026-06-06,42.4,review,high,20.8,46.5,38.1,40.0,66.6,,,-6.7,0.6,2.1,2.4,Financials,mature_compounder
BSX,2026-06-06,50.7,weakening,medium,80.7,8.9,65.3,50.0,43.9,thesis_integrity,thesis_unavailable,12.5,0.1,0.0,0.0,Health Care,standard_compounder
C,2026-06-06,60.0,monitor,high,40.2,68.5,45.1,79.5,66.6,,,-1.4,3.3,-0.9,4.3,Financials,mature_compounder
CAT,2026-06-06,55.6,weakening,high,27.6,87.2,45.1,73.1,49.2,,,-4.0,2.0,-1.2,-3.9,Industrials,standard_compounder
CCEP,2026-06-06,48.4,review,high,39.8,55.1,50.0,55.5,44.1,,,-0.2,3.6,-0.8,-6.5,Consumer Staples,standard_compounder
CDNS,2026-06-06,68.3,monitor,high,69.7,77.3,72.0,77.3,45.7,,,4.7,2.7,1.8,13.0,Technology,standard_compounder
CDW,2026-06-06,46.8,review,high,27.1,61.9,47.0,72.1,45.7,,,-4.7,1.8,8.3,6.9,Technology,standard_compounder
CEG,2026-06-06,60.9,monitor,high,92.9,24.1,70.3,73.8,37.9,,,10.3,-0.9,6.5,6.7,Utilities,standard_compounder
CHTR,2026-06-06,34.9,review,high,38.2,15.1,49.7,42.5,46.8,,,-4.5,3.1,1.5,-8.3,Communication Services,standard_compounder
CI,2026-06-06,52.1,weakening,medium,59.9,55.3,49.4,50.0,43.9,thesis_integrity,thesis_unavailable,2.3,3.2,0.0,0.0,Health Care,mature_compounder
CL,2026-06-06,45.3,review,high,31.8,47.9,43.2,62.4,44.1,,,-3.5,-1.7,-7.5,-9.8,Consumer Staples,standard_compounder
CMCSA,2026-06-06,41.9,review,high,42.0,14.7,43.4,62.7,46.8,,,-4.8,2.7,-5.9,-16.1,Communication Services,standard_compounder
CMI,2026-06-06,43.9,review,medium,27.0,69.2,31.1,55.0,49.2,thesis_integrity,thesis_unavailable,-10.7,2.2,0.0,0.0,Industrials,standard_compounder
COF,2026-06-06,60.5,monitor,high,81.6,16.2,70.0,65.1,66.6,,,9.7,3.5,-1.6,-6.0,Financials,standard_compounder
COP,2026-06-06,61.3,monitor,high,45.0,74.7,57.2,75.8,57.0,,,0.0,0.0,-3.4,-3.1,Energy,standard_compounder
COST,2026-06-06,50.8,weakening,high,43.3,42.4,50.2,73.9,44.1,,,1.2,0.7,-15.7,-14.3,Consumer Staples,mature_compounder
CRM,2026-06-06,51.8,weakening,high,48.5,18.4,70.9,75.6,45.7,,,3.9,-0.7,3.8,2.8,Technology,mature_compounder
CRWD,2026-06-06,63.8,monitor,medium,64.2,86.3,50.0,72.6,45.7,,sec_unavailable,-0.1,-0.8,8.5,20.4,Technology,mature_compounder
CSCO,2026-06-06,60.2,monitor,high,44.1,94.4,53.7,63.2,45.7,,,-3.4,0.3,4.7,6.6,Technology,mature_compounder
CSGP,2026-06-06,55.7,weakening,high,76.1,7.5,68.3,75.6,49.2,,,8.8,3.7,-2.8,-0.8,Industrials,standard_compounder
CSX,2026-06-06,49.0,review,medium,19.1,79.3,48.3,58.8,49.2,thesis_integrity,thesis_unavailable,-8.1,-1.3,0.0,0.0,Industrials,mature_compounder
CTAS,2026-06-06,51.2,weakening,high,57.8,30.8,56.5,61.4,49.2,,,2.7,6.4,-0.1,-7.1,Industrials,standard_compounder
CTSH,2026-06-06,41.0,review,high,45.3,3.2,47.4,64.0,45.7,,,-3.9,2.0,0.8,-8.5,Technology,standard_compounder
CVS,2026-06-06,61.2,monitor,high,49.1,84.5,49.8,78.6,44.1,,,0.6,1.5,-0.7,4.1,Consumer Staples,standard_compounder
CVX,2026-06-06,54.5,weakening,high,35.0,67.4,37.4,76.3,57.0,,,-7.8,1.3,0.6,-1.1,Energy,standard_compounder
DASH,2026-06-06,40.8,review,high,31.4,-0.1,57.0,78.6,43.7,,,-1.7,-1.4,0.2,1.4,Consumer Discretionary,growth_compounder
DDOG,2026-06-06,66.4,monitor,high,63.7,91.8,64.0,81.8,45.7,,,4.2,-1.0,1.3,17.2,Technology,growth_compounder
DE,2026-06-06,47.5,review,high,26.2,66.5,20.3,73.7,49.2,,,-7.7,1.2,1.8,1.6,Industrials,standard_compounder
DHR,2026-06-06,44.0,review,high,42.1,3.8,54.4,78.8,43.9,,,-2.2,0.8,-0.4,-5.8,Health Care,standard_compounder
DIS,2026-06-06,44.4,review,high,34.0,25.9,38.2,76.9,46.8,,,-5.5,0.8,-0.8,-3.2,Communication Services,mature_compounder
DUK,2026-06-06,64.3,monitor,high,85.5,50.2,83.2,64.0,37.9,,,11.5,1.1,-5.1,-4.1,Utilities,standard_compounder
DXCM,2026-06-06,64.1,monitor,high,74.7,41.7,78.6,82.6,43.9,,,9.3,0.2,0.4,-1.9,Health Care,standard_compounder
EA,2026-06-06,37.6,review,high,25.8,36.1,32.0,49.0,46.8,,,-9.2,-5.0,-1.4,-2.2,Communication Services,standard_compounder
ECL,2026-06-06,37.9,review,medium,26.6,33.7,38.6,50.0,52.5,thesis_integrity,thesis_unavailable,-8.6,0.6,0.0,0.0,Materials,mature_compounder
ELV,2026-06-06,64.1,monitor,medium,76.2,78.7,57.7,58.8,43.9,thesis_integrity,thesis_unavailable,8.5,6.6,0.0,0.0,Health Care,mature_compounder
EMR,2026-06-06,46.4,review,high,40.7,28.9,43.9,69.9,49.2,,,-2.6,-0.8,-4.6,-1.3,Industrials,standard_compounder
EOG,2026-06-06,55.2,weakening,medium,35.4,80.3,52.2,55.0,57.0,thesis_integrity,thesis_unavailable,-4.1,1.0,0.0,0.0,Energy,standard_compounder
EQIX,2026-06-06,58.5,weakening,medium,51.0,85.4,60.4,45.0,39.6,thesis_integrity,thesis_unavailable,2.3,0.3,0.0,0.0,Real Estate,standard_compounder
ETN,2026-06-06,66.9,monitor,medium,84.3,72.0,54.9,47.5,49.2,thesis_integrity,thesis_unavailable,11.6,0.8,0.0,0.0,Industrials,standard_compounder
EXC,2026-06-06,49.3,review,high,48.7,50.5,53.2,57.4,37.9,,,0.5,-0.2,-2.5,-7.2,Utilities,standard_compounder
F,2026-06-06,44.1,review,medium,35.5,63.0,32.0,58.8,45.1,thesis_integrity,thesis_unavailable,-10.0,-5.7,8.7,4.7,Consumer Discretionary,standard_compounder
FANG,2026-06-06,69.5,monitor,medium,74.1,77.0,68.6,54.9,57.0,thesis_integrity,thesis_unavailable,12.1,-2.7,-9.1,-9.8,Energy,standard_compounder
FAST,2026-06-06,54.2,weakening,medium,52.0,57.4,60.1,50.0,49.2,thesis_integrity,thesis_unavailable,6.2,0.2,-7.2,-8.0,Industrials,standard_compounder
FCX,2026-06-06,39.0,review,medium,21.7,48.1,37.9,53.1,52.5,thesis_integrity,thesis_unavailable,-11.1,-2.6,0.0,0.0,Materials,standard_compounder
FDX,2026-06-06,49.3,review,medium,34.8,82.6,30.8,54.9,49.2,thesis_integrity,thesis_unavailable,-8.7,0.9,0.0,0.0,Industrials,mature_compounder
FTNT,2026-06-06,67.6,monitor,medium,63.4,96.3,77.1,58.8,45.7,thesis_integrity,thesis_unavailable,9.5,-2.3,1.7,10.2,Technology,mature_compounder
GD,2026-06-06,50.8,weakening,medium,66.3,30.3,54.6,58.8,49.2,thesis_integrity,thesis_unavailable,6.8,-0.3,-9.0,-8.4,Industrials,standard_compounder
GE,2026-06-06,67.9,monitor,medium,78.3,65.3,76.8,55.0,50.7,thesis_integrity,thesis_unavailable,11.5,5.5,12.8,6.7,Industrials,recovery_rerating
GEHC,2026-06-06,40.6,review,medium,55.2,19.1,40.4,45.0,43.9,thesis_integrity,thesis_unavailable,-2.2,2.4,2.2,-6.5,Health Care,standard_compounder
GEV,2026-06-06,44.5,review,medium,15.7,84.0,33.6,58.8,49.2,thesis_integrity,thesis_unavailable,-13.8,0.7,0.0,0.0,Industrials,growth_compounder
GFS,2026-06-06,56.5,weakening,medium,43.0,96.9,55.3,58.8,45.7,thesis_integrity,thesis_unavailable,-5.3,-0.7,-4.6,-0.3,Technology,standard_compounder
GILD,2026-06-06,38.7,review,medium,33.6,26.6,56.2,50.0,43.9,thesis_integrity,thesis_unavailable,-5.2,-8.2,-7.0,-17.8,Health Care,standard_compounder
GLW,2026-06-06,65.8,monitor,medium,72.9,91.4,62.9,50.0,45.7,thesis_integrity,thesis_unavailable,9.5,0.1,0.0,0.0,Technology,standard_compounder
GM,2026-06-06,29.8,review,medium,23.4,31.7,19.5,58.8,43.7,thesis_integrity,thesis_unavailable,-13.9,-6.5,1.9,-12.1,Consumer Discretionary,standard_compounder
GOOG,2026-06-06,68.8,monitor,medium,84.9,59.0,83.2,55.2,48.2,thesis_integrity,thesis_unavailable,14.0,-2.3,-3.0,0.9,Communication Services,mature_compounder
GOOGL,2026-06-06,69.5,monitor,medium,84.9,61.8,83.2,55.2,48.2,thesis_integrity,thesis_unavailable,14.0,-2.2,-2.5,1.5,Communication Services,mature_compounder
GS,2026-06-06,59.4,weakening,medium,58.6,65.4,46.9,55.0,66.6,thesis_integrity,sec_unavailable;thesis_unavailable,-1.1,4.1,6.2,5.8,Financials,mature_compounder
HCA,2026-06-06,35.5,review,medium,38.1,5.6,54.4,50.0,43.9,thesis_integrity,thesis_unavailable,-1.9,-1.6,0.0,0.0,Health Care,mature_compounder
HD,2026-06-06,32.6,review,medium,28.1,15.3,43.4,50.0,43.7,thesis_integrity,thesis_unavailable,-7.2,0.5,2.3,-8.7,Consumer Discretionary,mature_compounder
HLT,2026-06-06,60.5,monitor,medium,64.1,73.6,59.3,51.2,43.7,thesis_integrity,thesis_unavailable,6.2,2.8,0.0,0.0,Consumer Discretionary,standard_compounder
HON,2026-06-06,50.3,weakening,medium,66.4,38.0,41.6,52.0,49.2,thesis_integrity,thesis_unavailable,3.4,-3.4,-4.4,-9.9,Industrials,standard_compounder
HWM,2026-06-06,53.1,weakening,medium,49.1,72.5,39.3,58.8,49.2,thesis_integrity,thesis_unavailable,-2.4,1.8,0.0,0.0,Industrials,growth_compounder
IBM,2026-06-06,49.5,review,medium,49.0,36.4,66.9,55.0,45.7,thesis_integrity,thesis_unavailable,3.9,-1.5,12.1,9.7,Technology,mature_compounder
IDXX,2026-06-06,47.9,review,medium,67.6,13.0,67.1,50.0,43.9,thesis_integrity,thesis_unavailable,8.7,2.8,-4.9,-8.8,Health Care,standard_compounder
ILMN,2026-06-06,45.3,review,medium,42.6,53.5,40.8,55.0,43.9,thesis_integrity,thesis_unavailable,-4.1,-0.1,8.6,-0.4,Health Care,standard_compounder
INTC,2026-06-06,42.9,review,medium,30.2,95.6,31.3,58.8,45.7,thesis_integrity,thesis_unavailable,-11.8,-0.4,2.3,-0.7,Technology,recovery_stabilization
INTU,2026-06-06,51.3,weakening,medium,92.5,4.4,74.5,46.7,45.7,thesis_integrity,thesis_unavailable,16.8,0.3,-1.7,-3.0,Technology,mature_compounder
ISRG,2026-06-06,55.8,weakening,medium,90.9,10.6,77.8,58.8,43.9,thesis_integrity,thesis_unavailable,17.2,0.6,-1.9,-2.4,Health Care,mature_compounder
ITW,2026-06-06,45.8,review,medium,48.9,45.7,39.3,55.0,49.2,thesis_integrity,thesis_unavailable,-3.0,4.5,0.0,0.0,Industrials,mature_compounder
JCI,2026-06-06,49.5,review,medium,39.4,78.9,27.6,55.0,49.2,thesis_integrity,thesis_unavailable,-7.5,3.3,0.0,0.0,Industrials,standard_compounder
JNJ,2026-06-06,45.4,review,medium,30.8,53.7,53.2,50.0,43.9,thesis_integrity,thesis_unavailable,-4.0,0.9,-7.2,-15.1,Health Care,mature_compounder
JPM,2026-06-06,48.6,review,medium,34.0,50.2,43.5,55.0,66.6,thesis_integrity,thesis_unavailable,-5.6,6.1,5.3,5.5,Financials,mature_compounder
KDP,2026-06-06,50.3,weakening,medium,42.9,67.1,48.5,55.0,44.1,thesis_integrity,thesis_unavailable,-2.5,-0.1,-4.5,-10.3,Consumer Staples,standard_compounder
KHC,2026-06-06,38.9,review,medium,35.5,46.2,27.7,58.8,44.1,thesis_integrity,thesis_unavailable,-7.6,-0.5,1.2,-0.1,Consumer Staples,standard_compounder
KLAC,2026-06-06,56.2,weakening,medium,41.9,76.6,62.4,50.0,48.9,thesis_integrity,thesis_unavailable,-0.2,-0.5,-1.3,3.8,Technology,growth_compounder
KMI,2026-06-06,67.0,monitor,medium,83.2,60.6,62.0,58.8,57.0,thesis_integrity,thesis_unavailable,12.6,-1.6,0.0,0.0,Energy,standard_compounder
KO,2026-06-06,38.6,review,medium,28.0,56.3,26.0,55.0,44.1,thesis_integrity,thesis_unavailable,-11.5,-0.6,-6.3,-5.8,Consumer Staples,mature_compounder
LCID,2026-06-06,38.9,review,medium,63.0,5.0,40.0,46.5,51.0,thesis_integrity,thesis_unavailable,3.0,0.2,-1.6,-18.5,Consumer Discretionary,pre_profit_growth
LIN,2026-06-06,52.7,weakening,medium,40.3,66.9,54.8,50.0,52.5,thesis_integrity,thesis_unavailable,-2.2,1.0,-2.9,-0.1,Materials,standard_compounder
LLY,2026-06-06,57.5,weakening,medium,62.5,58.1,66.5,58.8,43.9,thesis_integrity,thesis_unavailable,7.0,1.6,7.8,-6.9,Health Care,growth_compounder
LMT,2026-06-06,41.4,review,medium,45.0,25.0,46.7,45.0,49.2,thesis_integrity,thesis_unavailable,-2.1,1.1,-8.6,-19.6,Industrials,standard_compounder
LOW,2026-06-06,39.3,review,medium,55.9,8.3,47.1,50.0,43.7,thesis_integrity,thesis_unavailable,1.3,1.6,-0.2,4.7,Consumer Discretionary,standard_compounder
LRCX,2026-06-06,55.4,weakening,medium,41.8,77.8,57.1,55.0,48.9,thesis_integrity,thesis_unavailable,-1.3,-0.9,-1.6,-1.1,Technology,growth_compounder
LULU,2026-06-06,35.3,review,medium,51.3,6.3,36.3,51.0,43.7,thesis_integrity,thesis_unavailable,-2.2,-0.5,-1.8,-17.0,Consumer Discretionary,standard_compounder
MA,2026-06-06,63.5,monitor,medium,75.6,30.3,81.7,55.0,66.6,thesis_integrity,thesis_unavailable,14.3,3.4,0.4,-1.5,Financials,mature_compounder
MAR,2026-06-06,55.5,weakening,medium,52.5,76.9,47.7,55.0,43.7,thesis_integrity,thesis_unavailable,0.3,2.6,0.7,-3.1,Consumer Discretionary,standard_compounder
MCD,2026-06-06,39.8,review,medium,30.4,26.9,58.4,55.0,43.7,thesis_integrity,thesis_unavailable,-2.9,1.4,-6.7,-11.7,Consumer Discretionary,mature_compounder
MCHP,2026-06-06,56.3,weakening,medium,40.9,75.2,70.9,58.8,45.7,thesis_integrity,thesis_unavailable,1.1,-1.3,6.0,16.3,Technology,standard_compounder
MCK,2026-06-06,48.9,review,medium,72.4,28.0,51.1,47.5,43.9,thesis_integrity,thesis_unavailable,5.9,2.3,0.0,0.0,Health Care,mature_compounder
MDB,2026-06-06,30.6,review,medium,30.3,15.5,47.1,58.8,45.7,thesis_integrity,thesis_unavailable,-6.7,-0.4,5.8,4.0,Technology,growth_compounder
MDLZ,2026-06-06,49.5,review,medium,51.4,53.0,49.0,58.8,44.1,thesis_integrity,thesis_unavailable,0.2,0.9,-4.9,1.0,Consumer Staples,standard_compounder
MDT,2026-06-06,35.0,review,medium,41.9,13.9,40.0,50.0,43.9,thesis_integrity,thesis_unavailable,-4.5,2.1,-2.1,-9.5,Health Care,standard_compounder
MELI,2026-06-06,55.4,weakening,medium,93.0,9.6,69.2,50.0,43.7,thesis_integrity,thesis_unavailable,17.1,-0.9,-3.7,-1.4,Consumer Discretionary,growth_compounder
MET,2026-06-06,64.5,monitor,medium,58.0,64.6,72.4,55.0,66.6,thesis_integrity,thesis_unavailable,6.7,2.1,5.4,13.1,Financials,standard_compounder
META,2026-06-06,62.4,monitor,medium,93.7,23.6,84.1,55.0,48.2,thesis_integrity,thesis_unavailable,19.4,-6.3,-2.4,0.3,Communication Services,mature_compounder
MMM,2026-06-06,44.2,review,medium,51.3,39.8,36.7,55.0,49.2,thesis_integrity,thesis_unavailable,-3.2,2.3,15.2,10.7,Industrials,mature_compounder
MNST,2026-06-06,61.8,monitor,medium,73.6,60.4,67.7,58.8,44.1,thesis_integrity,thesis_unavailable,10.7,1.7,-0.2,-6.9,Consumer Staples,standard_compounder
MO,2026-06-06,41.6,review,medium,11.0,70.1,51.2,55.0,44.1,thesis_integrity,thesis_unavailable,-11.9,1.0,-0.9,1.3,Consumer Staples,standard_compounder
MPC,2026-06-06,48.8,review,medium,19.2,91.0,31.0,52.7,57.0,thesis_integrity,thesis_unavailable,-13.2,1.2,0.0,0.0,Energy,standard_compounder
MPWR,2026-06-06,61.3,monitor,medium,53.3,84.9,63.9,55.0,45.7,thesis_integrity,thesis_unavailable,3.6,-0.4,0.0,0.0,Technology,growth_compounder
MRK,2026-06-06,40.4,review,medium,17.0,69.0,31.5,58.8,43.9,thesis_integrity,thesis_unavailable,-12.8,2.0,0.5,-13.1,Health Care,mature_compounder
MRVL,2026-06-06,71.5,constructive,medium,82.5,97.0,69.6,51.2,45.7,thesis_integrity,thesis_unavailable,13.8,-2.4,3.6,33.4,Technology,growth_compounder
MS,2026-06-06,62.7,monitor,medium,30.3,73.9,80.0,58.8,66.6,thesis_integrity,thesis_unavailable,2.6,3.9,4.5,9.3,Financials,mature_compounder
MSFT,2026-06-06,54.3,weakening,medium,72.0,17.8,78.4,55.0,48.9,thesis_integrity,thesis_unavailable,12.6,-3.9,-0.5,1.8,Technology,mature_compounder
MU,2026-06-06,80.2,high_confidence,medium,94.2,95.1,94.5,58.8,48.9,thesis_integrity,thesis_unavailable,22.2,0.3,-0.4,-0.9,Technology,growth_compounder
NEE,2026-06-06,41.1,review,medium,32.6,44.4,55.2,52.9,37.9,thesis_integrity,thesis_unavailable,-3.9,-2.1,-9.2,-7.6,Utilities,standard_compounder
NEM,2026-06-06,60.7,monitor,medium,95.8,6.3,85.6,58.8,52.5,thesis_integrity,thesis_unavailable,21.0,-3.5,0.0,0.0,Materials,standard_compounder
NFLX,2026-06-06,58.9,weakening,medium,79.5,31.6,77.2,45.0,46.8,thesis_integrity,thesis_unavailable,14.2,0.5,-3.1,-0.4,Communication Services,standard_compounder
NKE,2026-06-06,20.3,review,medium,12.8,4.2,23.3,52.5,43.7,thesis_integrity,thesis_unavailable,-16.7,1.2,-2.1,-8.7,Consumer Discretionary,standard_compounder
NOC,2026-06-06,37.3,review,medium,62.3,11.6,26.3,50.0,49.2,thesis_integrity,thesis_unavailable,-3.0,0.1,0.0,0.0,Industrials,mature_compounder
NOW,2026-06-06,55.1,weakening,medium,90.7,16.0,80.1,41.2,45.7,thesis_integrity,thesis_unavailable,17.7,-4.2,3.4,0.6,Technology,mature_compounder
NSC,2026-06-06,47.0,review,medium,37.9,62.5,38.6,48.3,49.2,thesis_integrity,thesis_unavailable,-5.9,1.3,0.0,0.0,Industrials,mature_compounder
NVDA,2026-06-06,73.5,constructive,medium,93.0,55.2,98.3,55.0,48.9,thesis_integrity,thesis_unavailable,22.5,-3.6,-3.4,4.9,Technology,growth_compounder
NXPI,2026-06-06,44.6,review,medium,19.6,85.2,46.5,50.0,45.7,thesis_integrity,thesis_unavailable,-10.1,-0.5,-3.1,6.0,Technology,standard_compounder
ODFL,2026-06-06,59.0,weakening,medium,50.0,86.8,50.0,55.0,49.2,thesis_integrity,sec_unavailable;thesis_unavailable,0.0,2.5,0.7,-3.2,Industrials,standard_compounder
ON,2026-06-06,48.6,review,medium,19.6,91.2,59.8,41.2,45.7,thesis_integrity,thesis_unavailable,-7.6,0.6,-0.9,2.8,Technology,standard_compounder
ORCL,2026-06-06,57.5,weakening,medium,42.0,81.5,69.7,55.0,48.9,thesis_integrity,thesis_unavailable,2.9,-2.5,8.3,19.0,Technology,mature_compounder
ORLY,2026-06-06,44.5,review,medium,56.9,21.5,55.4,53.1,43.7,thesis_integrity,thesis_unavailable,3.2,1.8,-9.9,-9.2,Consumer Discretionary,standard_compounder
PANW,2026-06-06,75.0,constructive,medium,80.0,100.5,74.0,55.0,45.7,thesis_integrity,thesis_unavailable,13.5,1.8,13.0,24.7,Technology,mature_compounder
PAYX,2026-06-06,51.8,weakening,medium,59.5,35.4,64.5,50.0,49.2,thesis_integrity,thesis_unavailable,5.5,4.5,4.5,9.3,Industrials,standard_compounder
PCAR,2026-06-06,34.9,review,medium,23.6,36.6,32.4,50.0,49.2,thesis_integrity,thesis_unavailable,-11.8,3.5,-0.4,-5.2,Industrials,standard_compounder
PDD,2026-06-06,55.8,weakening,medium,90.0,7.2,79.5,41.2,43.7,thesis_integrity,thesis_unavailable,18.1,1.1,-8.0,-8.1,Consumer Discretionary,standard_compounder
PEP,2026-06-06,31.6,review,medium,16.3,37.0,28.9,55.0,44.1,thesis_integrity,thesis_unavailable,-13.6,2.0,-11.4,-15.6,Consumer Staples,mature_compounder
PFE,2026-06-06,31.7,review,medium,8.8,43.5,30.5,55.0,43.9,thesis_integrity,thesis_unavailable,-15.3,-2.4,-2.9,-13.8,Health Care,mature_compounder
PG,2026-06-06,36.5,review,medium,17.6,42.6,41.8,50.0,44.1,thesis_integrity,thesis_unavailable,-10.3,1.9,0.7,-1.5,Consumer Staples,mature_compounder
PH,2026-06-06,37.4,review,medium,29.8,35.2,35.5,55.0,49.2,thesis_integrity,thesis_unavailable,-8.8,4.1,0.0,0.0,Industrials,mature_compounder
PLD,2026-06-06,59.7,weakening,medium,54.1,70.8,81.2,53.1,39.6,thesis_integrity,thesis_unavailable,7.1,1.9,0.0,0.0,Real Estate,standard_compounder
PM,2026-06-06,44.9,review,medium,46.2,46.3,42.0,41.2,44.1,thesis_integrity,thesis_unavailable,-2.7,-2.2,-4.9,-11.8,Consumer Staples,standard_compounder
PSX,2026-06-06,43.0,review,medium,11.7,82.1,24.1,58.8,57.0,thesis_integrity,thesis_unavailable,-16.8,1.2,0.0,0.0,Energy,standard_compounder
PWR,2026-06-06,65.8,monitor,medium,81.2,88.6,32.1,58.8,49.2,thesis_integrity,thesis_unavailable,6.3,1.3,0.0,0.0,Industrials,growth_compounder
PYPL,2026-06-06,38.9,review,medium,35.2,6.5,47.1,55.0,66.6,thesis_integrity,thesis_unavailable,-4.4,0.9,-0.6,4.7,Financials,mature_compounder
QCOM,2026-06-06,60.7,monitor,medium,41.5,92.1,75.6,55.0,45.7,thesis_integrity,thesis_unavailable,4.2,-0.1,4.2,9.4,Technology,mature_compounder
REGN,2026-06-06,31.1,review,medium,19.8,14.8,54.6,41.2,43.9,thesis_integrity,thesis_unavailable,-8.6,0.1,-3.7,-22.6,Health Care,standard_compounder
ROP,2026-06-06,59.3,weakening,medium,85.2,26.4,73.3,51.2,49.2,thesis_integrity,thesis_unavailable,15.4,5.3,3.3,4.3,Industrials,standard_compounder
ROST,2026-06-06,62.9,monitor,medium,72.3,78.4,52.0,58.8,43.7,thesis_integrity,thesis_unavailable,7.4,4.7,0.2,2.5,Consumer Discretionary,standard_compounder
